scenario_name,strategy,slots_mean,average_weighted_aoi_mean,peak_weighted_aoi_mean,avg_aoi_0_mean,peak_aoi_0_mean,weight_0_mean,avg_aoi_1_mean,peak_aoi_1_mean,weight_1_mean,avg_aoi_2_mean,peak_aoi_2_mean,weight_2_mean,system_peak_aoi_mean,high_weight_threshold_mean,high_weight_avg_aoi_mean,avg_aoi_3_mean,peak_aoi_3_mean,weight_3_mean,avg_aoi_4_mean,peak_aoi_4_mean,weight_4_mean,slots_std,average_weighted_aoi_std,peak_weighted_aoi_std,avg_aoi_0_std,peak_aoi_0_std,weight_0_std,avg_aoi_1_std,peak_aoi_1_std,weight_1_std,avg_aoi_2_std,peak_aoi_2_std,weight_2_std,system_peak_aoi_std,high_weight_threshold_std,high_weight_avg_aoi_std,avg_aoi_3_std,peak_aoi_3_std,weight_3_std,avg_aoi_4_std,peak_aoi_4_std,weight_4_std
N3_demo,greedy,300.0,18.805555555555557,54.666666666666664,4.666666666666667,12.666666666666666,1.0,3.2844444444444445,11.666666666666666,2.0,2.5233333333333334,9.0,3.0,12.666666666666666,2.0,2.9038888888888885,,,,,,,0.0,0.5925483779801564,0.4714045207910321,0.04529737135697698,0.9428090415820632,0.0,0.10213764617139019,1.699673171197595,0.0,0.14152607402747253,0.816496580927726,0.0,0.9428090415820632,0.0,0.11888629280654661,0.0,0.0,0.0,0.0,0.0,0.0
N3_demo,periodic,300.0,22.929999999999996,69.66666666666667,4.419999999999999,16.0,1.0,3.9266666666666663,17.333333333333332,2.0,3.552222222222222,15.666666666666666,3.0,21.333333333333332,2.0,3.7394444444444446,,,,,,,0.0,1.1232624441859156,15.92342788332825,0.45254833995939064,5.656854249492381,0.0,0.0949073622402781,4.496912521077347,0.0,0.2597054361776952,1.8856180831641265,0.0,3.091206165165234,0.0,0.10542096682782631,0.0,0.0,0.0,0.0,0.0,0.0
N3_demo,random,300.0,28.73777777777778,92.0,3.5077777777777777,16.333333333333332,1.0,3.9033333333333338,18.0,2.0,5.807777777777777,25.666666666666668,3.0,27.0,2.0,4.855555555555555,,,,,,,0.0,4.437997824622949,28.331372481167705,0.28306959402544163,4.189935029992178,0.0,0.5631656555184767,1.632993161855452,0.0,1.3954697425846019,9.428090415820634,0.0,8.524474568362947,0.0,0.7780154398797993,0.0,0.0,0.0,0.0,0.0,0.0
N3_demo,round_robin,300.0,23.206666666666667,64.0,2.4899999999999998,9.0,1.0,3.0933333333333337,11.0,2.0,4.843333333333333,18.0,3.0,18.0,2.0,3.9683333333333333,,,,,,,0.0,1.7196188208114296,7.3484692283495345,0.13490737563232047,2.449489742783178,0.0,0.2671246067953223,1.4142135623730951,0.0,0.42928881756795073,2.449489742783178,0.0,2.449489742783178,0.0,0.30108138434649206,0.0,0.0,0.0,0.0,0.0,0.0
N3_demo,whittle,300.0,17.663333333333334,47.666666666666664,3.5066666666666664,12.0,1.0,2.84,9.333333333333334,2.0,2.8255555555555554,8.666666666666666,3.0,12.0,2.0,2.832777777777778,,,,,,,0.0,0.8846468221838584,5.734883511361751,0.149245013565191,0.816496580927726,0.0,0.11178683418138428,0.4714045207910318,0.0,0.17563289435708493,1.2472191289246473,0.0,0.816496580927726,0.0,0.14152825482418785,0.0,0.0,0.0,0.0,0.0,0.0
N5_hetero,greedy,300.0,57.41166666666667,117.33333333333333,9.227777777777776,26.333333333333332,1.0,6.767777777777778,17.666666666666668,1.5,5.455555555555556,16.666666666666668,2.0,26.333333333333332,2.0,4.172222222222222,4.092222222222222,11.333333333333334,3.0,2.968888888888889,8.666666666666666,5.0,0.0,1.4197698039810187,6.018490028422594,0.01812167381144381,2.6246692913372702,0.0,0.15602310686735846,1.2472191289246475,0.0,0.0776665871880059,0.9428090415820636,0.0,2.6246692913372702,0.0,0.11909466442561646,0.15459225540789157,0.4714045207910318,0.0,0.1292237030582962,0.47140452079103146,0.0
N5_hetero,periodic,300.0,81.28055555555555,176.33333333333334,8.106666666666667,26.0,1.0,6.9188888888888895,21.333333333333332,1.5,7.197777777777778,25.333333333333332,2.0,30.0,2.0,6.491111111111111,6.488888888888888,20.333333333333332,3.0,5.786666666666666,24.0,5.0,0.0,3.489238570586585,17.360555546666383,1.2169390867010317,10.614455552060438,0.0,0.49264466447135963,5.90668171555645,0.0,0.26323251703520867,0.47140452079103146,0.0,6.377042156569663,0.0,0.3175018226835988,0.5239616421734852,5.185449728701348,0.0,0.4480162034106788,1.632993161855452,0.0
N5_hetero,random,300.0,98.63833333333334,220.16666666666666,5.296666666666667,27.0,1.0,6.161111111111111,25.0,1.5,7.054444444444445,28.666666666666668,2.0,35.666666666666664,2.0,8.184074074074074,8.748888888888889,32.666666666666664,3.0,8.74888888888889,28.666666666666668,5.0,0.0,4.129036969596698,8.106924338010204,0.8280409723267632,7.2571803523590805,0.0,1.139182076083159,5.887840577551898,0.0,0.9995048156678437,8.219218670625303,0.0,2.6246692913372707,0.0,0.41031788673610475,1.8147672707302114,2.4944382578492936,0.0,1.4279753430108355,4.714045207910316,0.0
N5_hetero,round_robin,300.0,69.41722222222222,200.5,3.5,10.0,1.0,4.2122222222222225,16.666666666666668,1.5,4.8533333333333335,20.0,2.0,30.0,2.0,5.729259259259259,5.890000000000001,21.666666666666668,3.0,6.4444444444444455,28.333333333333332,5.0,0.0,7.106391663083018,60.44970361107378,0.0680413817439773,0.0,0.0,0.41573970964154877,2.357022603955158,0.0,0.8769686847739058,7.0710678118654755,0.0,8.16496580927726,0.0,0.719458148494298,0.7009253143497504,4.714045207910318,0.0,1.021376461713902,10.274023338281626,0.0
N5_hetero,whittle,300.0,52.907222222222224,120.5,5.6322222222222225,14.333333333333334,1.0,4.794444444444444,13.0,1.5,4.71,14.666666666666666,2.0,15.0,2.0,4.174074074074074,4.198888888888889,11.0,3.0,3.6133333333333333,11.333333333333334,5.0,0.0,0.6187597112344303,1.8708286933869707,0.18367308585945818,1.247219128924647,0.0,0.03774508389214003,0.816496580927726,0.0,0.10003703018086568,1.699673171197595,0.0,1.4142135623730951,0.0,0.04892535116156669,0.15377552984869536,0.816496580927726,0.0,0.019051586888313803,0.4714045207910318,0.0
