state,optimal_action,value_function,q_passive,q_active
1,passive,0.0,-0.5769230768965938,3.084615384620681
2,passive,5.4230769231219815,4.846153846225388,5.769230769245077
3,active,8.846153846141672,9.346153846225388,8.269230769245077
4,active,11.346153846141668,13.84615384622538,10.769230769245075
5,active,13.846153846141664,18.346153846225356,13.26923076924507
6,active,16.34615384614164,22.846153846225224,15.769230769245045
7,active,18.846153846141508,27.346153846224567,18.269230769244913
8,active,21.34615384614085,31.84615384622129,20.769230769244256
9,active,23.846153846137575,36.346153846204906,23.26923076924098
10,active,26.34615384612119,40.84615384612299,25.769230769224595
11,active,28.846153846039268,45.34615384571339,28.269230769142673
12,active,31.346153845629672,49.84615384366539,30.769230768733077
13,active,33.84615384358167,54.34615383342539,33.26923076668508
14,active,36.34615383334167,58.846153782225386,35.769230756445076
15,active,38.84615378214167,63.346153526225386,38.26923070524508
16,active,41.34615352614166,67.84615224622539,40.76923044924507
17,active,43.84615224614167,72.3461458462254,43.26922916924508
18,active,46.34614584614167,76.84611384622539,45.769222769245076
19,active,48.84611384614166,81.34595384622538,48.26919076924507
20,active,51.34595384614167,85.84515384622539,50.76903076924508
21,active,53.84515384614167,90.34115384622538,53.26823076924508
22,active,56.341153846141665,94.82115384622539,55.764230769245074
23,active,58.82115384614167,99.22115384622539,58.24423076924508
24,active,61.22115384614167,103.22115384622539,60.64423076924508
25,active,63.22115384614167,105.22115384622539,62.64423076924508
